site_id,bc_wfs0,bc_wfs0_sd,bc_wfs0_n,bc_wfs1,bc_wfs1_sd,bc_wfs1_only,bc_wfs1_only_n,distance_cat,length_cat,aadt_cat,bc_n,bc_diff,bc_pct_diff
33,0.9453535104096356,0.04590095240565031,7,0.996292833351004,0.0934177152681001,1.0676078854689197,5,2,1,1,12,0.05093932294136849,5.112886616883055
35,1.1166655011569075,0.051198526654887055,4,1.1337586325145412,0.06240765145014374,1.1508517638721751,4,4,4,4,8,0.017093131357633684,1.5076517053478269
37,1.033267215993225,0.007807281051174858,2,1.0933716331391514,0.13616152788711888,1.1234238417121147,4,2,4,3,6,0.0601044171459264,5.497162659448384
38,1.2022588064250845,0.2637801023947628,11,1.1835578419710666,0.2208152762746283,1.1492727404720333,6,4,3,3,17,-0.01870096445401792,-1.5800634148031005
39,0.8700373072663964,0.07111079418638025,7,0.9374447024205784,0.1400652965955187,1.094728624447003,3,1,2,3,10,0.06740739515418204,7.190546277570211
40,1.0313614904855253,0.21960915617250784,9,1.0274861211207709,0.1815557802454676,1.0205104562642129,5,1,1,1,14,-0.0038753693647544107,-0.3771699962747136
41,1.177310601700646,0.2637496155451805,9,1.1526157280121154,0.22969381547826648,1.0970522622129217,4,3,2,2,13,-0.024694873688530627,-2.1425070896022906
42,1.046986105920974,0.10220833910717475,7,1.0728931347241737,0.10371930225792948,1.1091629750486531,5,2,2,3,12,0.025907028803199728,2.414688654882676
43,1.1733930778365291,0.24208835956747135,6,1.1561071450223523,0.179075403802123,1.13536402564534,5,3,3,4,11,-0.017285932814176785,-1.495184325138184
44,1.019559029815977,0.06037364201423549,6,1.053250111717679,0.12493462640533474,1.086941193619381,6,2,2,2,12,0.033691081901702,3.1987731619375146
45,1.174247206883729,0.31162452569087756,9,1.1094828401827057,0.27007995113297756,0.9929069801208636,5,4,3,4,14,-0.06476436670102337,-5.837347307720253
46,0.9637917903109583,0.11693550591017216,7,1.0389864008904943,0.1684611871721803,1.1705769694046824,4,1,2,3,11,0.07519461057953603,7.237304599471969
47,1.2838292150171078,0.3088391953391353,9,1.2552676298084777,0.26778784996809757,1.19100406308906,4,2,4,2,13,-0.028561585208630058,-2.2753383047874687
48,0.9729963572861937,0.07171619028811914,3,1.036942975638861,0.13632258228490327,1.1008895939915286,3,4,2,3,6,0.06394661835266735,6.166840400579387
49,1.3030074469030024,0.2847617174145047,5,1.2067460280405196,0.2280010541984317,1.110484609178037,5,4,3,4,10,-0.09626141886248285,-7.976941015400685
50,0.8717571000047015,0.04923693196013769,6,0.9109288926059872,0.0815007878170998,0.9696865815079158,4,2,1,1,10,0.03917179260128567,4.3002031134639855
51,1.168306141944792,0.33086114883694817,7,1.1306250330518821,0.2563753222086152,1.0778714806018084,5,3,4,3,12,-0.037681108892909876,-3.332767963857808
52,0.9379303337840494,0.09581034911741583,5,1.002099084691432,0.12163998166985349,1.0823100233256602,4,2,3,2,9,0.0641687509073825,6.403433740999918
53,1.3258383785682077,0.3402427543415771,8,1.3204112431072654,0.27903118318507847,1.311727826369758,5,3,2,2,13,-0.005427135460942312,-0.4110185738929997
54,1.091813675849705,0.05578559781531489,6,1.141657407878036,0.11804064227887011,1.2164230059205325,4,3,4,2,10,0.04984373202833092,4.365909745286369
55,1.395786130979875,0.14923807529220384,6,1.3250803747720745,0.16091471518373573,1.1836688623564733,3,1,3,3,9,-0.0707057562078004,-5.335959806963589
56,1.0650783294358457,0.10048005465228632,7,1.1165786204145065,0.11951841188044217,1.188679027784632,5,1,1,1,12,0.05150029097866082,4.612330026482364
57,1.3115974205207268,0.22159904815556175,6,1.2343524281692524,0.2285215799391335,1.0798624434663036,3,4,2,4,9,-0.07724499235147442,-6.25793659806231
58,1.1041934232943418,0.1024145300338016,6,1.1607977679997619,0.12668924698360545,1.228722981646266,5,3,3,3,11,0.056604344705420084,4.87633128404083
60,1.32214087244436,0.1675880381004988,4,1.2487053234158003,0.17531396910913422,1.1752697743872405,4,2,2,3,8,-0.07343554902855964,-5.880935049406104
61,1.0160922646102435,0.04869873860591479,6,1.0704488716501397,0.1009902156167403,1.124805478690036,6,1,1,1,12,0.0543566070398962,5.077926510969489
62,1.382876192471094,0.16311448340549783,5,1.3012732594586434,0.18264788395513928,1.19926959319308,4,1,1,1,9,-0.08160293301245058,-6.271006678981407
63,1.001929671171252,0.027538124938205344,4,1.0133640120798246,0.04330539523397905,1.0362326938969701,2,4,2,3,6,0.011434340908572649,1.1283547444224755
